"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"PWR";;;
2;"C6,C5,C4,C2,C1";"C_0805_2012Metric";5;"10uF";;;
3;"C3";"C_0805_2012Metric";1;"100nF";;;
4;"J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"BATT";;;
5;"IC1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TP4056";;;
6;"R2";"R_0805_2012Metric";1;"3k";;;
7;"R1";"R_0805_2012Metric";1;"0.4";;;
8;"J2";"buck-boost-conn";1;"buck-boost-conn";;;
9;"L1";"Murata 1266AS-H-1R5N=P2";1;"L";;;
10;"U1";"VSON-10-1EP_2.x2.5mm_P0.5mm_EP1.2x2mm";1;"TPS63031DSKT";;;
